ID,Skills,Projects,Education,Experience,Job_Role,Required_Skills
5276,"CI/CD, Node.js, SQL, Git, Java, AWS, HTML, Surgery","E-commerce Website, Cloud Deployment Project",S2,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
5277,"React, TensorFlow, Cryptography, Patient Care, Data Analysis, JavaScript, CSS, HTML","Cloud Deployment Project, Portfolio Website",S1,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5279,"Medical Knowledge, Excel, SQL, Communication, Pharmacology, Embedded Systems, SolidWorks, SIEM","Healthcare App, Cybersecurity Monitoring Tool",S1,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5280,"Thermodynamics, Patient Care, Machine Learning, JavaScript, Communication, Python, Pandas","Cloud Deployment Project, Stock Prediction Model",D3,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5281,"React, APIs, JavaScript, Pharmacology, Python, Java, HTML, SIEM","Healthcare App, E-commerce Website",D3,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5282,"Python, Network Security, CAD, Git, C, Ethical Hacking, SIEM","IoT Smart Home, Stock Prediction Model",S2,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5285,"CI/CD, Cryptography, Machine Learning, JavaScript, Linux, Node.js, Electronics, AWS","Cybersecurity Monitoring Tool, Stock Prediction Model",S1,3-5 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5287,"React, SQL, Communication, Python, Network Security, CAD, Git, SolidWorks","E-commerce Website, Healthcare App",S1,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
5288,"Thermodynamics, APIs, Node.js, Pharmacology, Python, Network Security, Java","E-commerce Website, AI Chatbot",D3,Fresher,Backend Developer,"Python, Java, SQL, APIs, Git"
5289,"React, TensorFlow, Deep Learning, Design, Pharmacology, Python, Java, Surgery","Healthcare App, Cloud Deployment Project",D3,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5290,"Thermodynamics, Data Analysis, Machine Learning, Python, Git, C, Surgery, Pandas","Healthcare App, Fraud Detection System",S1,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5291,"Deep Learning, JavaScript, Data Analysis, Visualization, Communication, SolidWorks, Pandas","Stock Prediction Model, AI Chatbot",S2,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5292,"Thermodynamics, React, Data Analysis, JavaScript, Visualization, SQL, Communication, HTML","Portfolio Website, Fraud Detection System",S2,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5293,"Microcontrollers, APIs, Data Analysis, Python, Manufacturing, Git, Electronics, Docker","Portfolio Website, Cybersecurity Monitoring Tool",S1,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
5294,"CI/CD, Kubernetes, JavaScript, Linux, CSS, Communication, Diagnosis, Ethical Hacking","AI Chatbot, Healthcare App",S1,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5295,"CI/CD, NumPy, Deep Learning, Machine Learning, Data Analysis, Communication, Diagnosis, Ethical Hacking","Fraud Detection System, Cybersecurity Monitoring Tool",S1,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5296,"Patient Care, Cryptography, Pharmacology, Python, Network Security, Git, HTML, SIEM","E-commerce Website, Resume Analyzer",D3,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5297,"Medical Knowledge, Patient Care, Machine Learning, Data Analysis, Pharmacology, CAD, AWS, Pandas","Portfolio Website, IoT Smart Home",D3,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5298,"TensorFlow, Microcontrollers, Data Analysis, Node.js, PyTorch, Python, Embedded Systems, AWS","Cybersecurity Monitoring Tool, Fraud Detection System",S2,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5299,"TensorFlow, Machine Learning, Python, CAD, Electronics, HTML, Surgery","Stock Prediction Model, Healthcare App",S1,Fresher,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5301,"React, Kubernetes, Excel, Linux, CSS, PyTorch, C, AWS","Cybersecurity Monitoring Tool, Portfolio Website",S1,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5302,"Deep Learning, Data Analysis, Visualization, Communication, Python, Java, Diagnosis, RTOS","Portfolio Website, Healthcare App",S2,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5303,"React, Medical Knowledge, Deep Learning, Linux, CSS, Manufacturing, HTML, SIEM","Cybersecurity Monitoring Tool, Portfolio Website",S2,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5304,"Microcontrollers, Excel, SQL, Communication, Manufacturing, Network Security, Diagnosis","Portfolio Website, Cloud Deployment Project",S2,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5305,"React, CI/CD, TensorFlow, Deep Learning, PyTorch, Manufacturing, Electronics, SolidWorks","Resume Analyzer, IoT Smart Home",S1,1-2 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5307,"React, Deep Learning, Machine Learning, Data Analysis, Communication, Python, Pandas","Portfolio Website, Cloud Deployment Project",S1,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5308,"Cryptography, Python, Manufacturing, Diagnosis, Ethical Hacking, Docker, RTOS, SIEM","IoT Smart Home, Fraud Detection System",S2,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5309,"Cryptography, Deep Learning, PyTorch, Communication, Pharmacology, Network Security, AWS, SIEM","IoT Smart Home, E-commerce Website",S1,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5310,"TensorFlow, CI/CD, Kubernetes, Linux, Visualization, Ethical Hacking, AWS, Docker","Cloud Deployment Project, IoT Smart Home",S1,1-2 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5313,"Machine Learning, Data Analysis, Python, CAD, Docker, HTML, Surgery","Healthcare App, IoT Smart Home",S2,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5314,"TensorFlow, Linux, PyTorch, Pharmacology, Python, Ethical Hacking, Surgery, Pandas","Cloud Deployment Project, Portfolio Website",S1,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5316,"APIs, Excel, Deep Learning, CSS, SQL, Git, Java, SolidWorks","E-commerce Website, IoT Smart Home",S1,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
5319,"React, Cryptography, Data Analysis, CSS, Node.js, Python, Embedded Systems, HTML","E-commerce Website, Resume Analyzer",S2,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5320,"Cryptography, Pharmacology, Manufacturing, Network Security, Python, Embedded Systems, C, Surgery","Cybersecurity Monitoring Tool, Cloud Deployment Project",S1,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5321,"Thermodynamics, TensorFlow, React, Machine Learning, Node.js, PyTorch, Python, CAD","Resume Analyzer, IoT Smart Home",D3,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5322,"React, NumPy, Patient Care, CSS, HTML, RTOS, SolidWorks","Cloud Deployment Project, Healthcare App",S2,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5323,"Thermodynamics, Excel, Cryptography, Communication, Network Security, Embedded Systems, Ethical Hacking, Docker","Portfolio Website, Cybersecurity Monitoring Tool",S2,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5325,"React, NumPy, Microcontrollers, Machine Learning, Visualization, Python, C, Pandas","Cybersecurity Monitoring Tool, AI Chatbot",D3,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5331,"TensorFlow, Machine Learning, Design, PyTorch, Python, Java, HTML, Surgery","Fraud Detection System, Portfolio Website",S1,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5333,"APIs, Cryptography, Machine Learning, Deep Learning, Git, Java, RTOS, Pandas","IoT Smart Home, Stock Prediction Model",S2,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
5334,"TensorFlow, CI/CD, Excel, Cryptography, JavaScript, Node.js, Electronics, HTML","Portfolio Website, Fraud Detection System",S1,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5335,"NumPy, Kubernetes, Deep Learning, Data Analysis, SQL, Communication, Diagnosis, SolidWorks","Portfolio Website, E-commerce Website",S1,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5336,"Thermodynamics, APIs, Cryptography, Data Analysis, Network Security, Ethical Hacking, SIEM","Resume Analyzer, Healthcare App",S1,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5338,"Kubernetes, NumPy, Excel, Node.js, SQL, Communication, C, RTOS","IoT Smart Home, Cloud Deployment Project",S1,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5339,"TensorFlow, Deep Learning, CSS, Python, CAD, Java, Git, Surgery","AI Chatbot, IoT Smart Home",S1,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5340,"CI/CD, NumPy, Excel, JavaScript, Node.js, Ethical Hacking, HTML, Surgery","Portfolio Website, E-commerce Website",S2,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5341,"CI/CD, Kubernetes, JavaScript, Linux, Network Security, Git, HTML","Portfolio Website, Cloud Deployment Project",S2,3-5 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5343,"TensorFlow, Visualization, CSS, Python, Network Security, Electronics, SIEM","Fraud Detection System, Resume Analyzer",S1,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5344,"NumPy, Microcontrollers, Excel, JavaScript, Visualization, SQL, Java, CAD","Portfolio Website, Cloud Deployment Project",D3,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5345,"React, Patient Care, Data Analysis, JavaScript, CSS, SQL, PyTorch, Docker","IoT Smart Home, Resume Analyzer",D3,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5346,"Kubernetes, Data Analysis, SQL, Communication, Python, Network Security","Stock Prediction Model, Fraud Detection System",S2,Fresher,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5347,"NumPy, APIs, Microcontrollers, Linux, Communication, Pharmacology, Python, Pandas","Portfolio Website, Fraud Detection System",D3,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5351,"TensorFlow, CI/CD, APIs, Data Analysis, Python, Java, Embedded Systems, SolidWorks","Healthcare App, E-commerce Website",S2,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
5353,"React, NumPy, Excel, CSS, Node.js, PyTorch, Java, RTOS","Stock Prediction Model, Healthcare App",S1,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5354,"React, Deep Learning, JavaScript, Machine Learning, Python, Java, HTML, Pandas","Fraud Detection System, E-commerce Website",S1,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5355,"React, Patient Care, Deep Learning, JavaScript, CSS, Java, CAD, HTML","Stock Prediction Model, Cloud Deployment Project",S2,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5356,"Kubernetes, NumPy, Python, Java, HTML, RTOS, SIEM, Pandas","IoT Smart Home, Healthcare App",S1,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5359,"TensorFlow, Cryptography, JavaScript, Linux, CSS, Python, HTML, Surgery","Stock Prediction Model, Fraud Detection System",S1,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5360,"CI/CD, Machine Learning, Data Analysis, Python, Manufacturing, Java, Embedded Systems","E-commerce Website, Cybersecurity Monitoring Tool",S1,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5361,"React, Data Analysis, JavaScript, SQL, Pharmacology, Java, Ethical Hacking, HTML","E-commerce Website, AI Chatbot",S1,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5362,"Excel, JavaScript, Visualization, Communication, Diagnosis, Git, RTOS","IoT Smart Home, Portfolio Website",S1,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5363,"TensorFlow, Microcontrollers, Cryptography, Machine Learning, Python, Git, Docker, Pandas","Stock Prediction Model, Resume Analyzer",S1,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5364,"Thermodynamics, Medical Knowledge, React, JavaScript, CSS, Node.js, Manufacturing, SolidWorks","Portfolio Website, Fraud Detection System",S2,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5367,"Cryptography, Deep Learning, JavaScript, Node.js, Java, Git, Embedded Systems, HTML","Cloud Deployment Project, Resume Analyzer",S2,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5368,"Medical Knowledge, APIs, Linux, CSS, Manufacturing, Git, Java, Ethical Hacking","Portfolio Website, AI Chatbot",S2,Fresher,Backend Developer,"Python, Java, SQL, APIs, Git"
5370,"Kubernetes, APIs, Deep Learning, Machine Learning, CSS, PyTorch, Pharmacology, Surgery","Healthcare App, Cloud Deployment Project",S1,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5372,"Thermodynamics, Patient Care, Cryptography, Data Analysis, Linux, Python, CAD, SIEM","Cloud Deployment Project, AI Chatbot",S2,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5373,"CI/CD, Patient Care, Cryptography, Linux, PyTorch, Manufacturing, Docker","Healthcare App, Resume Analyzer",S1,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5374,"CI/CD, Microcontrollers, APIs, Deep Learning, Pharmacology, Python, Git, Electronics","Resume Analyzer, AI Chatbot",D3,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
5375,"React, Data Analysis, JavaScript, Deep Learning, Machine Learning, PyTorch, CAD","IoT Smart Home, Resume Analyzer",S1,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5377,"TensorFlow, Medical Knowledge, JavaScript, Network Security, Git, Ethical Hacking, SIEM","AI Chatbot, Cybersecurity Monitoring Tool",D3,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5380,"React, Machine Learning, CSS, PyTorch, Python, Docker, HTML, SIEM","Resume Analyzer, E-commerce Website",S1,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5381,"TensorFlow, NumPy, Cryptography, Deep Learning, Machine Learning, Node.js, Java","Portfolio Website, Stock Prediction Model",D3,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5382,"TensorFlow, Deep Learning, CSS, Python, AWS, SolidWorks, SIEM","IoT Smart Home, AI Chatbot",D3,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5384,"Medical Knowledge, Data Analysis, JavaScript, Deep Learning, Machine Learning, Design, Communication, Python","IoT Smart Home, Cybersecurity Monitoring Tool",S1,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5385,"Cryptography, Excel, Visualization, Communication, Network Security, Embedded Systems, Docker","Portfolio Website, Stock Prediction Model",S1,Fresher,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5386,"NumPy, Cryptography, Visualization, SQL, Communication, Pharmacology, Python, Network Security","Cloud Deployment Project, Cybersecurity Monitoring Tool",S1,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5387,"Medical Knowledge, Kubernetes, Excel, Data Analysis, JavaScript, Communication, AWS, RTOS","Fraud Detection System, Resume Analyzer",S2,Fresher,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5388,"NumPy, Patient Care, Machine Learning, Data Analysis, Python, C, RTOS, SolidWorks","IoT Smart Home, Fraud Detection System",S2,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5389,"React, Kubernetes, Linux, Visualization, Communication, Manufacturing, Docker, SolidWorks","Portfolio Website, Cybersecurity Monitoring Tool",S1,5+ years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5391,"Kubernetes, Visualization, Design, Manufacturing, C, AWS, Docker","Cybersecurity Monitoring Tool, Resume Analyzer",S2,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5392,"NumPy, Deep Learning, Machine Learning, Data Analysis, Node.js, PyTorch, Electronics, AWS","Stock Prediction Model, Resume Analyzer",S2,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5393,"React, Deep Learning, JavaScript, Node.js, Java, Electronics, SIEM","E-commerce Website, Cloud Deployment Project",S2,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5394,"Thermodynamics, NumPy, Machine Learning, Data Analysis, SQL, Communication, Python, Pandas","E-commerce Website, Healthcare App",S2,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5396,"Machine Learning, Design, PyTorch, Pharmacology, Python, Embedded Systems, SolidWorks","Resume Analyzer, Portfolio Website",S1,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5398,"Thermodynamics, TensorFlow, Machine Learning, Design, SQL, Python, Git","Fraud Detection System, Resume Analyzer",S1,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5399,"APIs, JavaScript, Linux, Python, Diagnosis, Java, Docker, SIEM","Resume Analyzer, E-commerce Website",S2,Fresher,Backend Developer,"Python, Java, SQL, APIs, Git"
5400,"TensorFlow, Medical Knowledge, NumPy, Machine Learning, Deep Learning, Python, Manufacturing, AWS","Fraud Detection System, IoT Smart Home",S1,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5401,"Microcontrollers, Cryptography, Machine Learning, Python, CAD, Embedded Systems, C, Pandas","E-commerce Website, Portfolio Website",S1,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5403,"Deep Learning, Linux, PyTorch, Communication, Python, Java, AWS","Healthcare App, Stock Prediction Model",S1,Fresher,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5405,"React, Linux, CAD, AWS, Docker, RTOS, SolidWorks","Fraud Detection System, Cloud Deployment Project",S1,3-5 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5406,"Medical Knowledge, Machine Learning, Data Analysis, Python, Diagnosis, SolidWorks, SIEM","AI Chatbot, Cybersecurity Monitoring Tool",S2,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5408,"NumPy, APIs, Data Analysis, Design, Java, AWS, SIEM, Pandas","Portfolio Website, Stock Prediction Model",S2,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5410,"React, APIs, Machine Learning, Python, Git, AWS, HTML","Resume Analyzer, Stock Prediction Model",S1,Fresher,Backend Developer,"Python, Java, SQL, APIs, Git"
5412,"CI/CD, Machine Learning, JavaScript, Visualization, PyTorch, Python, Ethical Hacking, Pandas","Fraud Detection System, AI Chatbot",S1,1-2 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5413,"Data Analysis, Visualization, SQL, Communication, Java, CAD, C","Stock Prediction Model, Cybersecurity Monitoring Tool",S1,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5414,"TensorFlow, CI/CD, Medical Knowledge, NumPy, Machine Learning, CSS, Python, Network Security","Cybersecurity Monitoring Tool, Portfolio Website",S1,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5415,"React, NumPy, CSS, Node.js, CAD, HTML, SIEM, Pandas","IoT Smart Home, Healthcare App",S2,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5418,"Thermodynamics, Kubernetes, NumPy, Excel, Data Analysis, SQL, Git, Docker","Healthcare App, Stock Prediction Model",S1,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5419,"APIs, JavaScript, CSS, Node.js, Pharmacology, Diagnosis, HTML, RTOS","Resume Analyzer, Fraud Detection System",S1,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5420,"React, Python, Java, Git, Docker, Surgery","Fraud Detection System, Cloud Deployment Project",S2,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
5421,"Kubernetes, APIs, NumPy, Data Analysis, Pharmacology, Python, SIEM","AI Chatbot, Cloud Deployment Project",S1,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5422,"NumPy, Python, CAD, Diagnosis, Ethical Hacking, AWS, Surgery, Pandas","Fraud Detection System, Portfolio Website",S2,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5423,"React, TensorFlow, Machine Learning, PyTorch, Java, Embedded Systems, SolidWorks","Resume Analyzer, Fraud Detection System",D3,1-2 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5425,"NumPy, Cryptography, Excel, Data Analysis, Design, SQL, Communication, Python","Stock Prediction Model, Cybersecurity Monitoring Tool",S1,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5427,"APIs, Deep Learning, Machine Learning, Visualization, Python, Java, Git, SolidWorks","AI Chatbot, Portfolio Website",S2,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
5428,"React, APIs, JavaScript, CSS, SQL, CAD, Docker, HTML","E-commerce Website, Healthcare App",S2,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5429,"APIs, Patient Care, Deep Learning, Visualization, SQL, Python, Git, Java","IoT Smart Home, AI Chatbot",S1,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
5430,"APIs, Linux, CSS, Python, Electronics, AWS, Docker","IoT Smart Home, Resume Analyzer",S1,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5433,"React, Microcontrollers, APIs, Visualization, Node.js, SQL, Python, Electronics","Cybersecurity Monitoring Tool, IoT Smart Home",S1,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
5434,"CI/CD, Data Analysis, Linux, SQL, Embedded Systems, Docker, HTML, SolidWorks","Fraud Detection System, Healthcare App",D3,1-2 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5436,"NumPy, Data Analysis, Machine Learning, Linux, Pharmacology, C, Electronics, AWS","Stock Prediction Model, Healthcare App",S2,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5438,"APIs, Deep Learning, SQL, Python, Network Security, Diagnosis, HTML, SIEM","AI Chatbot, Fraud Detection System",S1,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
5440,"CI/CD, Kubernetes, Excel, Machine Learning, Linux, Design, Electronics","Portfolio Website, Resume Analyzer",S2,5+ years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5441,"React, Kubernetes, JavaScript, Communication, AWS, HTML","IoT Smart Home, Stock Prediction Model",D3,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5443,"CI/CD, Machine Learning, Deep Learning, CSS, PyTorch, HTML, RTOS, Surgery","Cybersecurity Monitoring Tool, Portfolio Website",S2,1-2 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
5444,"React, Excel, CSS, SQL, Communication, Pharmacology, C","E-commerce Website, IoT Smart Home",S1,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5445,"Thermodynamics, NumPy, Visualization, Python, Network Security, Git, SIEM","AI Chatbot, E-commerce Website",S1,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5447,"Cryptography, JavaScript, CSS, SQL, Diagnosis, Ethical Hacking, HTML, SolidWorks","AI Chatbot, Cloud Deployment Project",S1,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5448,"NumPy, APIs, Data Analysis, Linux, Python, Ethical Hacking, HTML, Pandas","Healthcare App, Resume Analyzer",S2,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5449,"React, Kubernetes, Excel, CSS, Node.js, Network Security, Docker, SolidWorks","Portfolio Website, Cybersecurity Monitoring Tool",S1,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5451,"Data Analysis, Linux, Visualization, Communication, Python, Diagnosis, RTOS, Pandas","Cloud Deployment Project, Cybersecurity Monitoring Tool",S1,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
5453,"CI/CD, Machine Learning, Data Analysis, Python, Ethical Hacking, AWS, SolidWorks, SIEM","Cloud Deployment Project, Resume Analyzer",S1,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5454,"Patient Care, CSS, Python, Network Security, Git, C, Java, RTOS","Portfolio Website, Cloud Deployment Project",S2,Fresher,Backend Developer,"Python, Java, SQL, APIs, Git"
5455,"NumPy, Microcontrollers, Data Analysis, Machine Learning, Manufacturing, Network Security, Pandas","Fraud Detection System, Resume Analyzer",S2,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5456,"TensorFlow, Cryptography, Patient Care, Data Analysis, JavaScript, Python, Network Security, Pandas","Cybersecurity Monitoring Tool, Healthcare App",S2,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5457,"React, APIs, Excel, JavaScript, Node.js, Communication, Git, SolidWorks","Fraud Detection System, Portfolio Website",S2,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5459,"React, Machine Learning, CSS, Node.js, Manufacturing, C, Docker","Cloud Deployment Project, Healthcare App",S2,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
5462,"Medical Knowledge, CI/CD, Kubernetes, Data Analysis, Python, CAD, Java, AWS","Healthcare App, IoT Smart Home",S1,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
5463,"Thermodynamics, Microcontrollers, APIs, Cryptography, SQL, Git, Docker","Cloud Deployment Project, AI Chatbot",S1,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
5464,"Cryptography, PyTorch, Git, Ethical Hacking, Docker, SIEM","AI Chatbot, Healthcare App",S1,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
5465,"CI/CD, NumPy, Microcontrollers, Machine Learning, Data Analysis, Communication, Python, Ethical Hacking","E-commerce Website, Cybersecurity Monitoring Tool",S2,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5466,"Excel, Data Analysis, Visualization, Design, SQL, Communication, CAD","Fraud Detection System, Portfolio Website",S2,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
